INFO 2013-01-10 16:23:31,378 main 827 ...simulated 855000 single reads.
INFO 2013-01-10 16:23:41,668 main 827 ...simulated 860000 single reads.
INFO 2013-01-10 16:23:51,965 main 827 ...simulated 865000 single reads.
INFO 2013-01-10 16:24:02,280 main 827 ...simulated 870000 single reads.
INFO 2013-01-10 16:24:12,631 main 827 ...simulated 875000 single reads.
INFO 2013-01-10 16:24:22,920 main 827 ...simulated 880000 single reads.
INFO 2013-01-10 16:24:33,205 main 827 ...simulated 885000 single reads.
INFO 2013-01-10 16:24:43,497 main 827 ...simulated 890000 single reads.
INFO 2013-01-10 16:24:53,779 main 827 ...simulated 895000 single reads.
INFO 2013-01-10 16:25:04,084 main 827 ...simulated 900000 single reads.
INFO 2013-01-10 16:25:14,377 main 827 ...simulated 905000 single reads.
INFO 2013-01-10 16:25:24,702 main 827 ...simulated 910000 single reads.
INFO 2013-01-10 16:25:35,048 main 827 ...simulated 915000 single reads.
INFO 2013-01-10 16:25:45,335 main 827 ...simulated 920000 single reads.
INFO 2013-01-10 16:25:55,631 main 827 ...simulated 925000 single reads.
INFO 2013-01-10 16:26:05,916 main 827 ...simulated 930000 single reads.
INFO 2013-01-10 16:26:16,202 main 827 ...simulated 935000 single reads.
INFO 2013-01-10 16:26:26,499 main 827 ...simulated 940000 single reads.
INFO 2013-01-10 16:26:36,793 main 827 ...simulated 945000 single reads.
INFO 2013-01-10 16:26:47,066 main 827 ...simulated 950000 single reads.
INFO 2013-01-10 16:26:57,347 main 827 ...simulated 955000 single reads.
INFO 2013-01-10 16:27:07,640 main 827 ...simulated 960000 single reads.
INFO 2013-01-10 16:27:17,922 main 827 ...simulated 965000 single reads.
INFO 2013-01-10 16:27:28,294 main 827 ...simulated 970000 single reads.
INFO 2013-01-10 16:27:38,682 main 827 ...simulated 975000 single reads.
INFO 2013-01-10 16:27:49,062 main 827 ...simulated 980000 single reads.
INFO 2013-01-10 16:27:59,400 main 827 ...simulated 985000 single reads.
INFO 2013-01-10 16:28:09,785 main 827 ...simulated 990000 single reads.
INFO 2013-01-10 16:28:20,163 main 827 ...simulated 995000 single reads.
INFO 2013-01-10 16:28:30,541 main 827 ...simulated 1000000 single reads.
INFO 2013-01-10 16:28:40,949 main 827 ...simulated 1005000 single reads.
INFO 2013-01-10 16:28:51,230 main 827 ...simulated 1010000 single reads.
INFO 2013-01-10 16:29:01,505 main 827 ...simulated 1015000 single reads.
INFO 2013-01-10 16:29:11,772 main 827 ...simulated 1020000 single reads.
INFO 2013-01-10 16:29:22,039 main 827 ...simulated 1025000 single reads.
INFO 2013-01-10 16:29:32,321 main 827 ...simulated 1030000 single reads.
INFO 2013-01-10 16:29:42,642 main 827 ...simulated 1035000 single reads.
INFO 2013-01-10 16:29:52,922 main 827 ...simulated 1040000 single reads.
INFO 2013-01-10 16:30:03,208 main 827 ...simulated 1045000 single reads.
INFO 2013-01-10 16:30:13,539 main 827 ...simulated 1050000 single reads.
INFO 2013-01-10 16:30:23,909 main 827 ...simulated 1055000 single reads.
INFO 2013-01-10 16:30:34,235 main 827 ...simulated 1060000 single reads.
INFO 2013-01-10 16:30:44,498 main 827 ...simulated 1065000 single reads.
INFO 2013-01-10 16:30:54,767 main 827 ...simulated 1070000 single reads.
INFO 2013-01-10 16:31:05,036 main 827 ...simulated 1075000 single reads.
INFO 2013-01-10 16:31:15,280 main 827 ...simulated 1080000 single reads.
INFO 2013-01-10 16:31:25,587 main 827 ...simulated 1085000 single reads.
INFO 2013-01-10 16:31:35,933 main 827 ...simulated 1090000 single reads.
INFO 2013-01-10 16:31:46,216 main 827 ...simulated 1095000 single reads.
INFO 2013-01-10 16:31:56,490 main 827 ...simulated 1100000 single reads.
INFO 2013-01-10 16:32:06,832 main 827 ...simulated 1105000 single reads.
INFO 2013-01-10 16:32:17,103 main 827 ...simulated 1110000 single reads.
INFO 2013-01-10 16:32:27,339 main 827 ...simulated 1115000 single reads.
INFO 2013-01-10 16:32:37,667 main 827 ...simulated 1120000 single reads.
INFO 2013-01-10 16:32:47,933 main 827 ...simulated 1125000 single reads.
INFO 2013-01-10 16:32:58,226 main 827 ...simulated 1130000 single reads.
INFO 2013-01-10 16:33:08,475 main 827 ...simulated 1135000 single reads.
INFO 2013-01-10 16:33:18,719 main 827 ...simulated 1140000 single reads.
INFO 2013-01-10 16:33:28,967 main 827 ...simulated 1145000 single reads.
INFO 2013-01-10 16:33:39,305 main 827 ...simulated 1150000 single reads.
INFO 2013-01-10 16:33:49,650 main 827 ...simulated 1155000 single reads.
INFO 2013-01-10 16:34:00,002 main 827 ...simulated 1160000 single reads.
INFO 2013-01-10 16:34:10,290 main 827 ...simulated 1165000 single reads.
INFO 2013-01-10 16:34:20,566 main 827 ...simulated 1170000 single reads.
INFO 2013-01-10 16:34:30,844 main 827 ...simulated 1175000 single reads.
INFO 2013-01-10 16:34:41,127 main 827 ...simulated 1180000 single reads.
INFO 2013-01-10 16:34:51,406 main 827 ...simulated 1185000 single reads.
INFO 2013-01-10 16:35:01,681 main 827 ...simulated 1190000 single reads.
INFO 2013-01-10 16:35:12,029 main 827 ...simulated 1195000 single reads.
INFO 2013-01-10 16:35:22,436 main 827 ...simulated 1200000 single reads.
INFO 2013-01-10 16:35:32,805 main 827 ...simulated 1205000 single reads.
INFO 2013-01-10 16:35:43,176 main 827 ...simulated 1210000 single reads.
INFO 2013-01-10 16:35:53,550 main 827 ...simulated 1215000 single reads.
INFO 2013-01-10 16:36:03,906 main 827 ...simulated 1220000 single reads.
INFO 2013-01-10 16:36:14,209 main 827 ...simulated 1225000 single reads.
INFO 2013-01-10 16:36:24,498 main 827 ...simulated 1230000 single reads.
INFO 2013-01-10 16:36:34,784 main 827 ...simulated 1235000 single reads.
INFO 2013-01-10 16:36:45,103 main 827 ...simulated 1240000 single reads.
INFO 2013-01-10 16:36:55,382 main 827 ...simulated 1245000 single reads.
INFO 2013-01-10 16:37:05,658 main 827 ...simulated 1250000 single reads.
INFO 2013-01-10 16:37:15,944 main 827 ...simulated 1255000 single reads.
INFO 2013-01-10 16:37:26,214 main 827 ...simulated 1260000 single reads.
INFO 2013-01-10 16:37:36,573 main 827 ...simulated 1265000 single reads.
INFO 2013-01-10 16:37:46,900 main 827 ...simulated 1270000 single reads.
INFO 2013-01-10 16:37:57,184 main 827 ...simulated 1275000 single reads.
INFO 2013-01-10 16:38:07,576 main 827 ...simulated 1280000 single reads.
INFO 2013-01-10 16:38:17,911 main 827 ...simulated 1285000 single reads.
INFO 2013-01-10 16:38:28,265 main 827 ...simulated 1290000 single reads.
INFO 2013-01-10 16:38:38,598 main 827 ...simulated 1295000 single reads.
INFO 2013-01-10 16:38:48,863 main 827 ...simulated 1300000 single reads.
INFO 2013-01-10 16:38:59,128 main 827 ...simulated 1305000 single reads.
INFO 2013-01-10 16:39:09,422 main 827 ...simulated 1310000 single reads.
INFO 2013-01-10 16:39:19,713 main 827 ...simulated 1315000 single reads.
INFO 2013-01-10 16:39:29,973 main 827 ...simulated 1320000 single reads.
INFO 2013-01-10 16:39:40,293 main 827 ...simulated 1325000 single reads.
INFO 2013-01-10 16:39:50,533 main 827 ...simulated 1330000 single reads.
INFO 2013-01-10 16:40:00,764 main 827 ...simulated 1335000 single reads.
INFO 2013-01-10 16:40:11,054 main 827 ...simulated 1340000 single reads.
INFO 2013-01-10 16:40:21,412 main 827 ...simulated 1345000 single reads.
INFO 2013-01-10 16:40:31,746 main 827 ...simulated 1350000 single reads.
INFO 2013-01-10 16:40:42,094 main 827 ...simulated 1355000 single reads.
INFO 2013-01-10 16:40:52,438 main 827 ...simulated 1360000 single reads.
INFO 2013-01-10 16:41:02,822 main 827 ...simulated 1365000 single reads.
INFO 2013-01-10 16:41:13,160 main 827 ...simulated 1370000 single reads.
INFO 2013-01-10 16:41:23,424 main 827 ...simulated 1375000 single reads.
INFO 2013-01-10 16:41:33,933 main 827 ...simulated 1380000 single reads.
INFO 2013-01-10 16:41:44,525 main 827 ...simulated 1385000 single reads.
INFO 2013-01-10 16:41:54,814 main 827 ...simulated 1390000 single reads.
INFO 2013-01-10 16:42:05,067 main 827 ...simulated 1395000 single reads.
INFO 2013-01-10 16:42:15,327 main 827 ...simulated 1400000 single reads.
INFO 2013-01-10 16:42:25,577 main 827 ...simulated 1405000 single reads.
INFO 2013-01-10 16:42:35,830 main 827 ...simulated 1410000 single reads.
INFO 2013-01-10 16:42:46,082 main 827 ...simulated 1415000 single reads.
INFO 2013-01-10 16:42:56,333 main 827 ...simulated 1420000 single reads.
INFO 2013-01-10 16:43:06,694 main 827 ...simulated 1425000 single reads.
INFO 2013-01-10 16:43:17,059 main 827 ...simulated 1430000 single reads.
INFO 2013-01-10 16:43:27,456 main 827 ...simulated 1435000 single reads.
INFO 2013-01-10 16:43:37,875 main 827 ...simulated 1440000 single reads.
INFO 2013-01-10 16:43:48,271 main 827 ...simulated 1445000 single reads.
INFO 2013-01-10 16:43:58,606 main 827 ...simulated 1450000 single reads.
INFO 2013-01-10 16:44:08,882 main 827 ...simulated 1455000 single reads.
INFO 2013-01-10 16:44:19,156 main 827 ...simulated 1460000 single reads.
INFO 2013-01-10 16:44:29,459 main 827 ...simulated 1465000 single reads.
INFO 2013-01-10 16:44:39,756 main 827 ...simulated 1470000 single reads.
INFO 2013-01-10 16:44:50,038 main 827 ...simulated 1475000 single reads.
INFO 2013-01-10 16:45:00,320 main 827 ...simulated 1480000 single reads.
INFO 2013-01-10 16:45:10,610 main 827 ...simulated 1485000 single reads.
INFO 2013-01-10 16:45:20,896 main 827 ...simulated 1490000 single reads.
INFO 2013-01-10 16:45:31,284 main 827 ...simulated 1495000 single reads.
INFO 2013-01-10 16:45:41,656 main 827 ...simulated 1500000 single reads.
INFO 2013-01-10 16:45:51,980 main 827 ...simulated 1505000 single reads.
INFO 2013-01-10 16:46:02,307 main 827 ...simulated 1510000 single reads.
INFO 2013-01-10 16:46:12,563 main 827 ...simulated 1515000 single reads.
INFO 2013-01-10 16:46:22,809 main 827 ...simulated 1520000 single reads.
INFO 2013-01-10 16:46:33,062 main 827 ...simulated 1525000 single reads.
INFO 2013-01-10 16:46:43,313 main 827 ...simulated 1530000 single reads.
INFO 2013-01-10 16:46:53,557 main 827 ...simulated 1535000 single reads.
INFO 2013-01-10 16:47:03,847 main 827 ...simulated 1540000 single reads.
INFO 2013-01-10 16:47:14,417 main 827 ...simulated 1545000 single reads.
INFO 2013-01-10 16:47:25,151 main 827 ...simulated 1550000 single reads.
INFO 2013-01-10 16:47:35,572 main 827 ...simulated 1555000 single reads.
INFO 2013-01-10 16:47:45,932 main 827 ...simulated 1560000 single reads.
INFO 2013-01-10 16:47:56,287 main 827 ...simulated 1565000 single reads.
INFO 2013-01-10 16:48:06,641 main 827 ...simulated 1570000 single reads.
INFO 2013-01-10 16:48:17,007 main 827 ...simulated 1575000 single reads.
INFO 2013-01-10 16:48:27,377 main 827 ...simulated 1580000 single reads.
INFO 2013-01-10 16:48:37,791 main 827 ...simulated 1585000 single reads.
INFO 2013-01-10 16:48:48,105 main 827 ...simulated 1590000 single reads.
INFO 2013-01-10 16:48:58,366 main 827 ...simulated 1595000 single reads.
INFO 2013-01-10 16:49:08,636 main 827 ...simulated 1600000 single reads.
INFO 2013-01-10 16:49:18,897 main 827 ...simulated 1605000 single reads.
INFO 2013-01-10 16:49:29,162 main 827 ...simulated 1610000 single reads.
INFO 2013-01-10 16:49:39,423 main 827 ...simulated 1615000 single reads.
